X,CH1,
Second,Volt,
1.3600000e+00,-4.40000e-01,
1.3640001e+00,-4.80000e-01,
1.3680000e+00,-4.80000e-01,
1.3720001e+00,-4.40000e-01,
1.3760000e+00,-4.40000e-01,
1.3800001e+00,-5.20000e-01,
1.3840001e+00,-4.80000e-01,
1.3880000e+00,-4.40000e-01,
1.3920001e+00,-4.80000e-01,
1.3960000e+00,-4.40000e-01,
1.4000001e+00,-4.40000e-01,
1.4040000e+00,-4.80000e-01,
1.4080001e+00,-4.80000e-01,
1.4120001e+00,-4.40000e-01,
1.4160000e+00,-4.80000e-01,
1.4200001e+00,-4.40000e-01,
1.4240000e+00,-4.40000e-01,
1.4280001e+00,-4.80000e-01,
1.4320000e+00,-4.40000e-01,
1.4360001e+00,-4.80000e-01,
1.4400001e+00,-4.80000e-01,
1.4440001e+00,-4.40000e-01,
1.4480001e+00,-4.80000e-01,
1.4520001e+00,-4.40000e-01,
1.4560001e+00,-4.80000e-01,
1.4600000e+00,-4.40000e-01,
1.4640001e+00,-4.80000e-01,
1.4680001e+00,-4.40000e-01,
1.4720001e+00,-4.40000e-01,
1.4760001e+00,-4.80000e-01,
1.4800001e+00,-4.40000e-01,
1.4840001e+00,-4.80000e-01,
1.4880000e+00,-4.80000e-01,
1.4920001e+00,-4.40000e-01,
1.4960001e+00,-4.40000e-01,
1.5000001e+00,-4.80000e-01,
1.5040001e+00,-4.80000e-01,
1.5080001e+00,-4.40000e-01,
1.5120001e+00,-4.40000e-01,
1.5160002e+00,-4.80000e-01,
1.5200001e+00,-4.40000e-01,
1.5240000e+00,-4.80000e-01,
1.5280001e+00,-4.80000e-01,
1.5320001e+00,-4.40000e-01,
1.5360001e+00,-4.80000e-01,
1.5400001e+00,-4.40000e-01,
1.5440001e+00,-4.40000e-01,
1.5480001e+00,-4.80000e-01,
1.5520000e+00,-4.80000e-01,
1.5560001e+00,-4.40000e-01,
1.5600001e+00,-4.80000e-01,
1.5640001e+00,-4.40000e-01,
1.5680001e+00,-4.40000e-01,
1.5720001e+00,-4.80000e-01,
1.5760001e+00,-4.40000e-01,
1.5800000e+00,-4.80000e-01,
1.5840001e+00,-4.80000e-01,
1.5880001e+00,-4.40000e-01,
1.5920001e+00,-4.40000e-01,
1.5960001e+00,-4.80000e-01,
1.6000001e+00,-4.80000e-01,
1.6040001e+00,-4.40000e-01,
1.6080000e+00,-4.40000e-01,
1.6120001e+00,-4.80000e-01,
1.6160001e+00,-4.40000e-01,
1.6200001e+00,-4.80000e-01,
1.6240001e+00,-4.40000e-01,
1.6280001e+00,-4.80000e-01,
